condition,face_idx,slug,lpips,score
cn_only,0,snowy_mountain,0.8102830052375793,0.18971699476242065
cn_only,1,canyon,0.7825073599815369,0.21749264001846313
cn_only,2,sand_dune,0.7776148915290833,0.22238510847091675
cn_only,3,desert,0.7037113308906555,0.2962886691093445
cn_only,4,mountain_stream,0.8073018789291382,0.19269812107086182
cn_only,5,sky,0.792237401008606,0.20776259899139404
cn_only,6,village_mountains,0.7315999269485474,0.26840007305145264
cn_only,7,forest,0.8035783767700195,0.19642162322998047
cn_only,8,ancient_ruins,0.8072919249534607,0.1927080750465393
cn_only,9,city_street,0.816277801990509,0.18372219800949097
cn_only,10,waterfall,0.761237382888794,0.23876261711120605
cn_only,11,sea_cliff,0.841021716594696,0.15897828340530396
cn_only,12,volcano,0.8236143589019775,0.17638564109802246
cn_only,13,glacier,0.8025574684143066,0.19744253158569336
cn_only,14,cave_entrance,0.7517092227935791,0.2482907772064209
cn_only,15,beach,0.8288943767547607,0.17110562324523926
cn_only,16,ocean_waves,0.8090891242027283,0.19091087579727173
cn_only,17,iceberg,0.8163438439369202,0.18365615606307983
cn_only,18,fjord,0.7834852337837219,0.21651476621627808
cn_only,19,tropical_lagoon,0.819305956363678,0.18069404363632202
cn_only,20,desert_oasis,0.7331085205078125,0.2668914794921875
cn_only,21,hot_springs,0.8200149536132812,0.17998504638671875
cn_only,22,geyser,0.7723157405853271,0.22768425941467285
cn_only,23,aurora,0.8483359813690186,0.15166401863098145
cn_only,24,starry_night,0.7671691179275513,0.23283088207244873
cn_only,25,sunset_hills,0.8450577259063721,0.15494227409362793
cn_only,26,storm_clouds,0.7878955602645874,0.2121044397354126
cn_only,27,lightning_storm,0.8091126084327698,0.19088739156723022
cn_only,28,foggy_valley,0.7975016832351685,0.20249831676483154
cn_only,29,misty_morning,0.8197260499000549,0.18027395009994507
cn_only,30,rainforest,0.7467592358589172,0.25324076414108276
cn_only,31,bamboo_forest,0.8385995626449585,0.1614004373550415
cn_only,32,autumn_forest,0.827508807182312,0.172491192817688
cn_only,33,winter_forest,0.8258645534515381,0.17413544654846191
cn_only,34,pine_forest,0.8049278855323792,0.19507211446762085
cn_only,35,misty_forest,0.820765495300293,0.17923450469970703
cn_only,36,moonlit_forest,0.8070234060287476,0.19297659397125244
cn_only,37,wildflower_meadow,0.8113529682159424,0.18864703178405762
cn_only,38,lavender_field,0.7797291278839111,0.22027087211608887
cn_only,39,sunflower_field,0.8074218034744263,0.19257819652557373
cn_only,40,wheat_field,0.8166592121124268,0.18334078788757324
cn_only,41,rice_terraces,0.8111279010772705,0.1888720989227295
cn_only,42,vineyard,0.8137311339378357,0.1862688660621643
cn_only,43,tea_plantation,0.8647794723510742,0.13522052764892578
cn_only,44,cherry_blossom,0.7592983245849609,0.24070167541503906
cn_only,45,ancient_oak,0.8078950643539429,0.19210493564605713
cn_only,46,willow_tree,0.8309037685394287,0.1690962314605713
cn_only,47,baobab_tree,0.7956955432891846,0.20430445671081543
cn_only,48,overgrown_garden,0.7873657941818237,0.21263420581817627
cn_only,49,mesa,0.7613028287887573,0.23869717121124268
cn_only,50,rock_arch,0.7508797645568848,0.24912023544311523
cn_only,51,hoodoos,0.7723778486251831,0.2276221513748169
cn_only,52,sea_stacks,0.7809734344482422,0.2190265655517578
cn_only,53,salt_flat,0.8145045042037964,0.1854954957962036
cn_only,54,crystal_cave,0.7835959792137146,0.2164040207862854
cn_only,55,basalt_columns,0.7886860966682434,0.2113139033317566
cn_only,56,badlands,0.843367338180542,0.156632661819458
cn_only,57,high_plateau,0.8191847801208496,0.1808152198791504
cn_only,58,limestone_cliff,0.7739359140396118,0.22606408596038818
cn_only,59,medieval_castle,0.7716965079307556,0.22830349206924438
cn_only,60,gothic_cathedral,0.7643976807594299,0.23560231924057007
cn_only,61,roman_ruins,0.7789378762245178,0.22106212377548218
cn_only,62,japanese_temple,0.8408901691436768,0.15910983085632324
cn_only,63,chinese_pagoda,0.7560631036758423,0.24393689632415771
cn_only,64,jungle_temple,0.900452196598053,0.09954780340194702
cn_only,65,lighthouse,0.7775208353996277,0.22247916460037231
cn_only,66,stone_bridge,0.8250048160552979,0.17499518394470215
cn_only,67,abandoned_factory,0.7982505559921265,0.20174944400787354
cn_only,68,old_train_station,0.7954681515693665,0.20453184843063354
cn_only,69,moroccan_market,0.8242156505584717,0.17578434944152832
cn_only,70,venetian_canal,0.8166512846946716,0.18334871530532837
cn_only,71,parisian_street,0.8400816917419434,0.15991830825805664
cn_only,72,tuscan_village,0.7895302772521973,0.21046972274780273
cn_only,73,alpine_village,0.812066912651062,0.187933087348938
cn_only,74,nordic_village,0.8363864421844482,0.16361355781555176
cn_only,75,english_countryside,0.7679873704910278,0.23201262950897217
cn_only,76,harbor_dusk,0.7552700042724609,0.24472999572753906
cn_only,77,rooftop_city,0.868897020816803,0.13110297918319702
cn_only,78,skyline_night,0.8348159790039062,0.16518402099609375
cn_only,79,subway_tunnel,0.7985789179801941,0.2014210820198059
cn_only,80,back_alley,0.8043932318687439,0.1956067681312561
cn_only,81,stormy_sea,0.8044277429580688,0.19557225704193115
cn_only,82,calm_lake,0.791901171207428,0.20809882879257202
cn_only,83,frozen_lake,0.8189540505409241,0.18104594945907593
cn_only,84,reflection_pond,0.7735029458999634,0.22649705410003662
cn_only,85,coral_reef,0.8579790592193604,0.14202094078063965
cn_only,86,mangrove_forest,0.7750416994094849,0.22495830059051514
cn_only,87,misty_swamp,0.7825847864151001,0.2174152135848999
cn_only,88,arctic_tundra,0.7823452353477478,0.2176547646522522
cn_only,89,african_savanna,0.7384734153747559,0.26152658462524414
