condition,face_idx,slug,viclip
cn_only,0,snowy_mountain,0.31155675649642944
cn_only,1,canyon,0.24867266416549683
cn_only,2,sand_dune,0.23232842981815338
cn_only,3,desert,0.350051611661911
cn_only,4,mountain_stream,0.3281090259552002
cn_only,5,sky,0.1923399269580841
cn_only,6,village_mountains,0.34065163135528564
cn_only,7,forest,0.22987428307533264
cn_only,8,ancient_ruins,0.23362313210964203
cn_only,9,city_street,0.2899520993232727
cn_only,10,waterfall,0.33204185962677
cn_only,11,sea_cliff,0.28376108407974243
cn_only,12,volcano,0.3595452904701233
cn_only,13,glacier,0.20173394680023193
cn_only,14,cave_entrance,0.23483633995056152
cn_only,15,beach,0.3143937587738037
cn_only,16,ocean_waves,0.32503020763397217
cn_only,17,iceberg,0.3412317633628845
cn_only,18,fjord,0.22813846170902252
cn_only,19,tropical_lagoon,0.30419641733169556
cn_only,20,desert_oasis,0.35218071937561035
cn_only,21,hot_springs,0.283735990524292
cn_only,22,geyser,0.31690144538879395
cn_only,23,aurora,0.36660629510879517
cn_only,24,starry_night,0.29028040170669556
cn_only,25,sunset_hills,0.2512664198875427
cn_only,26,storm_clouds,0.2602098286151886
cn_only,27,lightning_storm,0.349193811416626
cn_only,28,foggy_valley,0.2671245038509369
cn_only,29,misty_morning,0.2580091953277588
cn_only,30,rainforest,0.2615874409675598
cn_only,31,bamboo_forest,0.26660430431365967
cn_only,32,autumn_forest,0.3542184829711914
cn_only,33,winter_forest,0.3155354857444763
cn_only,34,pine_forest,0.29318171739578247
cn_only,35,misty_forest,0.22804801166057587
cn_only,36,moonlit_forest,0.2913132309913635
cn_only,37,wildflower_meadow,0.3084414005279541
cn_only,38,lavender_field,0.33199289441108704
cn_only,39,sunflower_field,0.312264084815979
cn_only,40,wheat_field,0.34526166319847107
cn_only,41,rice_terraces,0.2831365466117859
cn_only,42,vineyard,0.33473002910614014
cn_only,43,tea_plantation,0.32015740871429443
cn_only,44,cherry_blossom,0.2909628450870514
cn_only,45,ancient_oak,0.32197538018226624
cn_only,46,willow_tree,0.301264226436615
cn_only,47,baobab_tree,0.38966578245162964
cn_only,48,overgrown_garden,0.27890709042549133
cn_only,49,mesa,0.33417803049087524
cn_only,50,rock_arch,0.3230210840702057
cn_only,51,hoodoos,0.32057249546051025
cn_only,52,sea_stacks,0.2957249879837036
cn_only,53,salt_flat,0.23544946312904358
cn_only,54,crystal_cave,0.34919360280036926
cn_only,55,basalt_columns,0.3147420883178711
cn_only,56,badlands,0.29264962673187256
cn_only,57,high_plateau,0.2598545253276825
cn_only,58,limestone_cliff,0.2640940248966217
cn_only,59,medieval_castle,0.36740320920944214
